,Value_of_K,SSE_Error,Size_of_Clusters
1,5,3331.339857468722,"{0: 1687, 1: 92, 2: 425, 3: 1103, 4: 622}"
2,10,3208.1431461187653,"{0: 1346, 1: 226, 2: 660, 3: 508, 4: 130, 5: 47, 6: 383, 7: 502, 8: 60, 9: 67}"
3,15,3196.208249997937,"{0: 1235, 1: 104, 2: 164, 3: 326, 4: 229, 5: 658, 6: 444, 7: 209, 8: 117, 9: 114, 10: 154, 11: 48, 12: 19, 13: 79, 14: 29}"
4,20,3075.455030989367,"{0: 868, 1: 313, 2: 191, 3: 48, 4: 43, 5: 592, 6: 84, 7: 108, 8: 194, 9: 320, 10: 299, 11: 114, 12: 31, 13: 134, 14: 30, 15: 302, 16: 54, 17: 114, 18: 68, 19: 22}"
5,25,3073.478791257823,"{0: 1023, 1: 98, 2: 236, 3: 207, 4: 77, 5: 447, 6: 252, 7: 120, 8: 182, 9: 242, 10: 88, 11: 92, 12: 291, 13: 23, 14: 122, 15: 133, 16: 38, 17: 44, 18: 50, 19: 40, 20: 36, 21: 19, 22: 38, 23: 14, 24: 17}"
6,30,2982.2144882625084,"{0: 876, 1: 158, 2: 88, 3: 204, 4: 462, 5: 151, 6: 102, 7: 103, 8: 116, 9: 42, 10: 62, 11: 110, 12: 69, 13: 71, 14: 145, 15: 26, 16: 124, 17: 229, 18: 232, 19: 124, 20: 103, 21: 16, 22: 15, 23: 66, 24: 47, 25: 40, 26: 62, 27: 36, 28: 21, 29: 29}"
7,35,2967.3196921989347,"{0: 702, 1: 79, 2: 52, 3: 474, 4: 278, 5: 92, 6: 194, 7: 83, 8: 44, 9: 160, 10: 121, 11: 63, 12: 190, 13: 165, 14: 114, 15: 87, 16: 112, 17: 49, 18: 238, 19: 83, 20: 37, 21: 68, 22: 67, 23: 53, 24: 66, 25: 34, 26: 33, 27: 34, 28: 55, 29: 11, 30: 21, 31: 20, 32: 10, 33: 21, 34: 19}"
8,40,2999.0286242913066,"{0: 597, 1: 220, 2: 112, 3: 36, 4: 497, 5: 44, 6: 117, 7: 166, 8: 39, 9: 155, 10: 124, 11: 63, 12: 272, 13: 76, 14: 54, 15: 208, 16: 26, 17: 80, 18: 58, 19: 54, 20: 225, 21: 45, 22: 22, 23: 70, 24: 107, 25: 38, 26: 107, 27: 10, 28: 29, 29: 6, 30: 17, 31: 26, 32: 27, 33: 5, 34: 24, 35: 20, 36: 16, 37: 99, 38: 28, 39: 10}"
9,45,2967.103494977938,"{0: 582, 1: 244, 2: 136, 3: 236, 4: 70, 5: 607, 6: 65, 7: 132, 8: 39, 9: 56, 10: 17, 11: 76, 12: 105, 13: 37, 14: 92, 15: 108, 16: 98, 17: 40, 18: 19, 19: 53, 20: 62, 21: 27, 22: 191, 23: 147, 24: 122, 25: 15, 26: 61, 27: 60, 28: 93, 29: 26, 30: 34, 31: 41, 32: 43, 33: 22, 34: 21, 35: 40, 36: 29, 37: 21, 38: 11, 39: 7, 40: 13, 41: 9, 42: 14, 43: 3, 44: 5}"
10,50,2899.586497633663,"{0: 476, 1: 64, 2: 48, 3: 167, 4: 402, 5: 13, 6: 46, 7: 88, 8: 65, 9: 50, 10: 148, 11: 144, 12: 236, 13: 143, 14: 71, 15: 50, 16: 23, 17: 40, 18: 60, 19: 220, 20: 193, 21: 26, 22: 63, 23: 59, 24: 113, 25: 29, 26: 87, 27: 26, 28: 69, 29: 55, 30: 14, 31: 121, 32: 57, 33: 83, 34: 65, 35: 58, 36: 30, 37: 13, 38: 9, 39: 20, 40: 30, 41: 25, 42: 20, 43: 34, 44: 15, 45: 10, 46: 18, 47: 5, 48: 10, 49: 18}"
