Run: 1 || MSE: 1546.0969806520432 || R^2 Score: -7.076450313346841 || Explained Variance Score: 0.13674718489815418 || Learning Rate: 0.001|| Iterations: 20
Run: 2 || MSE: 1473.4118330796039 || R^2 Score: -6.696760041498879 || Explained Variance Score: 0.1793347553359681 || Learning Rate: 0.001|| Iterations: 40
Run: 3 || MSE: 1462.6816413391944 || R^2 Score: -6.6407080204881686 || Explained Variance Score: 0.12786769491452543 || Learning Rate: 0.001|| Iterations: 60
Run: 4 || MSE: 1384.7873267916655 || R^2 Score: -6.233806274344141 || Explained Variance Score: 0.21247742112594026 || Learning Rate: 0.001|| Iterations: 80
Run: 5 || MSE: 1326.3920103756445 || R^2 Score: -5.928762750252102 || Explained Variance Score: 0.25342167809042304 || Learning Rate: 0.001|| Iterations: 100
Run: 6 || MSE: 1293.4415318593135 || R^2 Score: -5.7566371294996985 || Explained Variance Score: 0.24849531057973284 || Learning Rate: 0.001|| Iterations: 120
Run: 7 || MSE: 1230.8983617343567 || R^2 Score: -5.42992618427789 || Explained Variance Score: 0.3016367993562432 || Learning Rate: 0.001|| Iterations: 140
Run: 8 || MSE: 1186.5319098191173 || R^2 Score: -5.198166178950277 || Explained Variance Score: 0.329255725355872 || Learning Rate: 0.001|| Iterations: 160
Run: 9 || MSE: 1108.1215230051146 || R^2 Score: -4.788568591555389 || Explained Variance Score: 0.34816864990876806 || Learning Rate: 0.001|| Iterations: 180
Run: 10 || MSE: 1091.0595491973295 || R^2 Score: -4.699440816628821 || Explained Variance Score: 0.3402434291899894 || Learning Rate: 0.001|| Iterations: 200
Run: 11 || MSE: 903.3430811668773 || R^2 Score: -3.7188537344358767 || Explained Variance Score: 0.4452591991217294 || Learning Rate: 0.001|| Iterations: 300
Run: 12 || MSE: 760.0608375422706 || R^2 Score: -2.9703806852672816 || Explained Variance Score: 0.47631423393498873 || Learning Rate: 0.001|| Iterations: 400
Run: 13 || MSE: 609.8916387154111 || R^2 Score: -2.185931787107776 || Explained Variance Score: 0.5204750573406005 || Learning Rate: 0.001|| Iterations: 500
